pincode,searchTerm,service,id,name,price,originalPrice,savings,quantity,deliveryTime,discount,imageUrl,available
575006,onions 1kg,blinkit,676639,Desire Birista Fried Onion Flakes,₹399,₹499,₹100,1 kg,30 mins,20% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/69f51162-3f7c-4647-a93c-88124de5d217.png,true
575006,onions 1kg,blinkit,391306,Onion (Eerulli),₹41,₹49,₹8,950 - 1050 g,earliest,16% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/1ec5d712-5139-43b6-b4c9-b0e2efeeeb2c.png,true
575006,onions 1kg,blinkit,661116,Nutty Fried Onion Flakes,₹350,₹499,₹149,900 g,30 mins,29% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/265e182e-e34a-4ee0-94d1-7fec184006a5.png,true
575006,tomato 1kg,blinkit,540016,Desi Tomato 500 g - Pack of 2,₹88,₹110,₹22,2 x 500 g,earliest,20% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/076ddf5e-acf3-4427-9b66-6e7ac03b4666.png,true
575006,tomato 1kg,blinkit,59656,Maggi Hot & Sweet Tomato Chilli Sauce 1 kg,₹153,₹178,₹25,1 kg,earliest,14% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/5679662b-1fee-4818-871f-d3e8cdb876a2.png,true
575006,tomato 1kg,blinkit,91039,Maggi Rich Tomato Ketchup 960 g,₹144,₹159,₹15,960 g,earliest,9% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/449f69e9-8839-440f-b9ff-6e4c15453620.png,true
575006,tomato 1kg,blinkit,730433,Veeba Tomato Ketchup No Added Sugar - Pack of 2,₹327,₹418,₹91,2 x 460 g,earliest,21% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/1bbfc1ac-e331-4bdf-b351-91089afa5a96.png,true
575006,tomato 1kg,blinkit,476046,Kissan Fresh Tomato Ketchup,₹117,₹140,₹23,1.1 kg,earliest,16% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/d2adacad-53ad-4e61-b90e-8de1177caf82.png,true
575006,tomato 1kg,blinkit,479704,Veeba Chef's Special Tomato Ketchup,₹79,₹113,₹34,900 g,earliest,30% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/f4d92a48-68a6-4304-9bbf-a58f2374e06b.png,true
575006,potato 1kg,blinkit,421746,Potato (Alugadde),₹29,₹33,₹4,(0.95-1.05) kg,earliest,12% OFF,https://cdn.grofers.com/da/cms-assets/cms/product/f78d7a28-411e-4b8c-b19b-dbeed64020a1.png,true
